Date:;2021-10-26 11:43:46
Firmware Version:;0x0150;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x6064;0x6062;0x60F4;0x0000
Subindex:;0x00;0x00;0x00;0x00
Max. samples:;489
Recorded samples:;489
Sampling period:;8.000
Scale:;0;False;716.800;-27,302.000;24,434.800;30,169.200
Scale:;1;False;716.800;-27,302.000;24,434.800;30,169.200
Scale:;2;True;5.000;2.500;-22.500;17.500
Trigger:;0;0.000000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x6062;0x00;0.000000
;Position actual value;Position demand value;Following error actual value
ms;inc;inc;inc
0.000;25254;25254;0
8.000;25254;25254;0
16.000;25254;25254;0
24.000;25254;25254;0
32.000;25254;25254;0
40.000;25254;25254;0
48.000;25254;25254;0
56.000;25254;25254;0
64.000;25254;25254;0
72.000;25254;25254;0
80.000;25254;25254;0
88.000;25254;25254;0
96.000;25254;25254;0
104.000;25254;25254;0
112.000;25254;25254;0
120.000;25254;25254;0
128.000;25254;25254;0
136.000;25254;25254;0
144.000;25254;25254;0
152.000;25254;25254;0
160.000;25254;25254;0
168.000;25254;25254;0
176.000;25254;25254;0
184.000;25254;25254;0
192.000;25254;25254;0
200.000;25254;25254;0
208.000;25254;25254;0
216.000;25254;25254;0
224.000;25254;25254;0
232.000;25254;25254;0
240.000;25254;25254;0
248.000;25254;25254;0
256.000;25254;25254;0
264.000;25254;25254;0
272.000;25254;25254;0
280.000;25254;25254;0
288.000;25254;25254;0
296.000;25254;25254;0
304.000;25254;25254;0
312.000;25254;25254;0
320.000;25254;25254;0
328.000;25254;25254;0
336.000;25254;25254;0
344.000;25254;25254;0
352.000;25254;25254;0
360.000;25254;25254;0
368.000;25254;25254;0
376.000;25254;25254;0
384.000;25254;25254;0
392.000;25254;25254;0
400.000;25254;25254;0
408.000;25254;25254;0
416.000;25254;25254;0
424.000;25254;25254;0
432.000;25254;25254;0
440.000;25254;25254;0
448.000;25254;25254;0
456.000;25254;25254;0
464.000;25254;25254;0
472.000;25254;25254;0
480.000;25254;25254;0
488.000;25254;25254;0
496.000;25254;25254;0
504.000;25254;25254;0
512.000;25254;25254;0
520.000;25254;25254;0
528.000;25254;25254;0
536.000;25254;25254;0
544.000;25254;25254;0
552.000;25254;25254;0
560.000;25254;25254;0
568.000;25254;25254;0
576.000;25254;25254;0
584.000;25254;25254;0
592.000;25254;25254;0
600.000;25254;25254;0
608.000;25254;25254;0
616.000;25254;25254;0
624.000;25254;25254;0
632.000;25254;25254;0
640.000;25254;25254;0
648.000;25254;25254;0
656.000;25254;25254;0
664.000;25254;25254;0
672.000;25254;25254;0
680.000;25254;25254;0
688.000;25254;25254;0
696.000;25254;25254;0
704.000;25254;25254;0
712.000;25254;25254;0
720.000;25254;25254;0
728.000;25254;25254;0
736.000;25254;25254;0
744.000;25254;25254;0
752.000;25254;25254;0
760.000;25254;25254;0
768.000;25254;25254;0
776.000;25254;25254;0
784.000;25254;25254;0
792.000;25254;25254;0
800.000;25254;25254;0
808.000;25254;25254;0
816.000;25254;25254;0
824.000;25254;25254;0
832.000;25254;25254;0
840.000;25254;25254;0
848.000;25254;25254;0
856.000;25254;25254;0
864.000;25254;25254;0
872.000;25254;25254;0
880.000;25254;25254;0
888.000;25254;25254;0
896.000;25254;25254;0
904.000;25254;25254;0
912.000;25254;25254;0
920.000;25254;25254;0
928.000;25254;25254;0
936.000;25254;25254;0
944.000;25254;25254;0
952.000;25254;25254;0
960.000;25254;25254;0
968.000;25254;25254;0
976.000;25254;25254;0
984.000;25254;25254;0
992.000;25254;25255;1
1000.000;25255;25257;2
1008.000;25260;25261;1
1016.000;25266;25267;1
1024.000;25271;25274;3
1032.000;25279;25284;5
1040.000;25289;25295;6
1048.000;25302;25309;7
1056.000;25317;25324;7
1064.000;25333;25340;7
1072.000;25350;25359;9
1080.000;25370;25379;9
1088.000;25393;25402;9
1096.000;25416;25426;10
1104.000;25443;25452;9
1112.000;25471;25479;8
1120.000;25502;25509;7
1128.000;25533;25540;7
1136.000;25566;25573;7
1144.000;25601;25608;7
1152.000;25638;25645;7
1160.000;25677;25684;7
1168.000;25717;25724;7
1176.000;25759;25766;7
1184.000;25804;25810;6
1192.000;25848;25856;8
1200.000;25896;25904;8
1208.000;25947;25953;6
1216.000;26000;26005;5
1224.000;26053;26058;5
1232.000;26108;26113;5
1240.000;26166;26170;4
1248.000;26225;26228;3
1256.000;26286;26289;3
1264.000;26346;26351;5
1272.000;26410;26415;5
1280.000;26476;26481;5
1288.000;26543;26548;5
1296.000;26612;26618;6
1304.000;26681;26689;8
1312.000;26756;26762;6
1320.000;26831;26837;6
1328.000;26906;26914;8
1336.000;26984;26992;8
1344.000;27064;27073;9
1352.000;27149;27154;5
1360.000;27231;27236;5
1368.000;27312;27318;6
1376.000;27393;27400;7
1384.000;27477;27482;5
1392.000;27559;27564;5
1400.000;27639;27644;5
1408.000;27717;27721;4
1416.000;27794;27797;3
1424.000;27866;27872;6
1432.000;27940;27944;4
1440.000;28011;28015;4
1448.000;28081;28083;2
1456.000;28149;28150;1
1464.000;28214;28215;1
1472.000;28277;28279;2
1480.000;28338;28340;2
1488.000;28397;28400;3
1496.000;28454;28458;4
1504.000;28511;28514;3
1512.000;28565;28568;3
1520.000;28617;28620;3
1528.000;28669;28671;2
1536.000;28718;28720;2
1544.000;28765;28767;2
1552.000;28809;28812;3
1560.000;28853;28855;2
1568.000;28895;28897;2
1576.000;28935;28936;1
1584.000;28974;28974;0
1592.000;29010;29010;0
1600.000;29045;29044;-1
1608.000;29077;29077;0
1616.000;29109;29108;-1
1624.000;29138;29136;-2
1632.000;29165;29163;-2
1640.000;29190;29188;-2
1648.000;29212;29212;0
1656.000;29234;29233;-1
1664.000;29253;29253;0
1672.000;29271;29271;0
1680.000;29287;29287;0
1688.000;29301;29301;0
1696.000;29314;29314;0
1704.000;29327;29324;-3
1712.000;29336;29333;-3
1720.000;29344;29340;-4
1728.000;29349;29345;-4
1736.000;29351;29349;-2
1744.000;29351;29350;-1
1752.000;29351;29350;-1
1760.000;29351;29350;-1
1768.000;29351;29350;-1
1776.000;29351;29350;-1
1784.000;29352;29350;-2
1792.000;29352;29350;-2
1800.000;29352;29350;-2
1808.000;29352;29350;-2
1816.000;29352;29350;-2
1824.000;29352;29350;-2
1832.000;29352;29350;-2
1840.000;29352;29350;-2
1848.000;29352;29350;-2
1856.000;29352;29350;-2
1864.000;29352;29350;-2
1872.000;29352;29350;-2
1880.000;29352;29350;-2
1888.000;29352;29350;-2
1896.000;29352;29350;-2
1904.000;29352;29350;-2
1912.000;29352;29350;-2
1920.000;29352;29350;-2
1928.000;29352;29350;-2
1936.000;29352;29350;-2
1944.000;29352;29350;-2
1952.000;29352;29350;-2
1960.000;29352;29350;-2
1968.000;29352;29350;-2
1976.000;29352;29350;-2
1984.000;29352;29350;-2
1992.000;29352;29350;-2
2000.000;29352;29350;-2
2008.000;29352;29350;-2
2016.000;29352;29350;-2
2024.000;29352;29350;-2
2032.000;29352;29350;-2
2040.000;29352;29350;-2
2048.000;29352;29350;-2
2056.000;29352;29350;-2
2064.000;29352;29350;-2
2072.000;29352;29350;-2
2080.000;29352;29350;-2
2088.000;29352;29350;-2
2096.000;29352;29350;-2
2104.000;29352;29350;-2
2112.000;29352;29350;-2
2120.000;29352;29350;-2
2128.000;29352;29350;-2
2136.000;29352;29350;-2
2144.000;29352;29350;-2
2152.000;29352;29350;-2
2160.000;29352;29350;-2
2168.000;29352;29350;-2
2176.000;29352;29350;-2
2184.000;29352;29350;-2
2192.000;29352;29350;-2
2200.000;29352;29350;-2
2208.000;29352;29350;-2
2216.000;29352;29350;-2
2224.000;29352;29350;-2
2232.000;29352;29350;-2
2240.000;29352;29350;-2
2248.000;29352;29350;-2
2256.000;29352;29350;-2
2264.000;29352;29350;-2
2272.000;29352;29350;-2
2280.000;29352;29350;-2
2288.000;29352;29350;-2
2296.000;29352;29350;-2
2304.000;29352;29350;-2
2312.000;29352;29350;-2
2320.000;29352;29350;-2
2328.000;29352;29350;-2
2336.000;29352;29350;-2
2344.000;29352;29350;-2
2352.000;29352;29350;-2
2360.000;29352;29350;-2
2368.000;29352;29350;-2
2376.000;29352;29350;-2
2384.000;29352;29350;-2
2392.000;29351;29350;-1
2400.000;29351;29350;-1
2408.000;29351;29350;-1
2416.000;29351;29350;-1
2424.000;29351;29350;-1
2432.000;29351;29350;-1
2440.000;29351;29348;-3
2448.000;29346;29344;-2
2456.000;29341;29338;-3
2464.000;29336;29331;-5
2472.000;29330;29322;-8
2480.000;29320;29310;-10
2488.000;29310;29298;-12
2496.000;29297;29283;-14
2504.000;29281;29266;-15
2512.000;29262;29248;-14
2520.000;29240;29228;-12
2528.000;29218;29206;-12
2536.000;29194;29182;-12
2544.000;29169;29156;-13
2552.000;29142;29129;-13
2560.000;29111;29100;-11
2568.000;29080;29069;-11
2576.000;29048;29036;-12
2584.000;29013;29001;-12
2592.000;28976;28965;-11
2600.000;28937;28926;-11
2608.000;28897;28886;-11
2616.000;28855;28844;-11
2624.000;28813;28800;-13
2632.000;28767;28755;-12
2640.000;28720;28707;-13
2648.000;28668;28658;-10
2656.000;28616;28607;-9
2664.000;28565;28554;-11
2672.000;28510;28500;-10
2680.000;28453;28443;-10
2688.000;28393;28385;-8
2696.000;28333;28325;-8
2704.000;28271;28263;-8
2712.000;28207;28199;-8
2720.000;28141;28133;-8
2728.000;28073;28066;-7
2736.000;28006;27997;-9
2744.000;27934;27926;-8
2752.000;27861;27853;-8
2760.000;27785;27778;-7
2768.000;27710;27702;-8
2776.000;27633;27624;-9
2784.000;27552;27543;-9
2792.000;27471;27462;-9
2800.000;27387;27380;-7
2808.000;27305;27298;-7
2816.000;27224;27216;-8
2824.000;27142;27134;-8
2832.000;27061;27052;-9
2840.000;26980;26972;-8
2848.000;26901;26894;-7
2856.000;26824;26818;-6
2864.000;26750;26743;-7
2872.000;26678;26671;-7
2880.000;26607;26600;-7
2888.000;26536;26531;-5
2896.000;26470;26464;-6
2904.000;26403;26398;-5
2912.000;26338;26335;-3
2920.000;26276;26273;-3
2928.000;26216;26213;-3
2936.000;26159;26155;-4
2944.000;26103;26099;-4
2952.000;26048;26044;-4
2960.000;25996;25991;-5
2968.000;25944;25941;-3
2976.000;25895;25891;-4
2984.000;25848;25844;-4
2992.000;25804;25799;-5
3000.000;25759;25755;-4
3008.000;25717;25713;-4
3016.000;25676;25674;-2
3024.000;25638;25635;-3
3032.000;25601;25599;-2
3040.000;25566;25565;-1
3048.000;25532;25532;0
3056.000;25501;25501;0
3064.000;25472;25472;0
3072.000;25446;25445;-1
3080.000;25422;25419;-3
3088.000;25398;25396;-2
3096.000;25375;25374;-1
3104.000;25354;25354;0
3112.000;25336;25336;0
3120.000;25319;25319;0
3128.000;25304;25305;1
3136.000;25293;25292;-1
3144.000;25281;25281;0
3152.000;25271;25272;1
3160.000;25264;25265;1
3168.000;25256;25259;3
3176.000;25254;25256;2
3184.000;25253;25254;1
3192.000;25253;25254;1
3200.000;25253;25254;1
3208.000;25253;25254;1
3216.000;25253;25254;1
3224.000;25252;25254;2
3232.000;25251;25254;3
3240.000;25251;25254;3
3248.000;25252;25254;2
3256.000;25252;25254;2
3264.000;25253;25254;1
3272.000;25252;25254;2
3280.000;25251;25254;3
3288.000;25251;25254;3
3296.000;25252;25254;2
3304.000;25252;25254;2
3312.000;25252;25254;2
3320.000;25251;25254;3
3328.000;25250;25254;4
3336.000;25251;25254;3
3344.000;25252;25254;2
3352.000;25252;25254;2
3360.000;25252;25254;2
3368.000;25251;25254;3
3376.000;25250;25254;4
3384.000;25252;25254;2
3392.000;25252;25254;2
3400.000;25252;25254;2
3408.000;25251;25254;3
3416.000;25250;25254;4
3424.000;25251;25254;3
3432.000;25252;25254;2
3440.000;25252;25254;2
3448.000;25251;25254;3
3456.000;25251;25254;3
3464.000;25251;25254;3
3472.000;25252;25254;2
3480.000;25253;25254;1
3488.000;25253;25254;1
