Date:;2021-11-02 08:55:51,,,
Firmware Version:;0x0170;0x6552;0x0000;0x0000,,,
EPOS Studio Version:;3.7.1.0,,,
Index:;0x30D1;0x30D0;0x0000;0x0000,,,
Subindex:;0x02;0x00;0x00;0x00,,,
Max. samples:;275,,,
Recorded samples:;275,,,
Sampling period:;0.800,,,
Scale:;0;False;3,025.000;0.000;-12,100.000;12,100
Scale:;1;False;3,025.000;0.000;-12,100.000;12,100
"Trigger:;0;0.000000;""Parameter values"";""Channel 2"";""Rising above value""",,,
TriggerAttributes:;1;4;0x30D0;0x00;0.000000,,,
;Current actual value;Current demand value,,,
ms;mA;mA,,,
0.000;25;0,,,
0.800;-111;0,,,
1.600;-66;0,,,
2.400;-9;0,,,
3.200;48;0,,,
4.000;-66;0,,,
4.800;14;0,,,
5.600;-32;0,,,
6.400;-43;0,,,
7.200;-9;0,,,
8.000;-100;0,,,
8.800;3;0,,,
9.600;14;0,,,
10.400;3;0,,,
11.200;-20;0,,,
12.000;-89;0,,,
12.800;-54;0,,,
13.600;37;0,,,
14.400;-54;0,,,
15.200;25;0,,,
16.000;14;0,,,
16.800;3;0,,,
17.600;-43;0,,,
18.400;37;0,,,
19.200;14;0,,,
20.000;48;0,,,
20.800;-20;0,,,
21.600;3;0,,,
22.400;-9;0,,,
23.200;-20;0,,,
24.000;25;0,,,
24.800;71;0,,,
25.600;14;0,,,
26.400;-20;0,,,
27.200;14;0,,,
28.000;25;0,,,
28.800;-32;0,,,
29.600;94;0,,,
30.400;-20;0,,,
31.200;3;0,,,
32.000;37;0,,,
32.800;-32;0,,,
33.600;-32;0,,,
34.400;3;0,,,
35.200;-32;0,,,
36.000;-32;0,,,
36.800;25;0,,,
37.600;3;0,,,
38.400;-20;0,,,
39.200;94;0,,,
40.000;-20;0,,,
40.800;-9;0,,,
41.600;-43;0,,,
42.400;94;0,,,
43.200;-9;0,,,
44.000;60;0,,,
44.800;-9;0,,,
45.600;-20;0,,,
46.400;-32;0,,,
47.200;71;0,,,
48.000;25;0,,,
48.800;-32;0,,,
49.600;94;0,,,
50.400;2181;6050,,,
51.200;4975;6050,,,
52.000;5625;6050,,,
52.800;5841;6050,,,
53.600;5841;6050,,,
54.400;5876;6050,,,
55.200;5773;6050,,,
56.000;5269;6050,,,
56.800;5747;6050,,,
57.600;5783;6050,,,
58.400;5768;6050,,,
59.200;5779;6050,,,
60.000;5778;6050,,,
60.800;5748;6050,,,
61.600;5768;6050,,,
62.400;5777;6050,,,
63.200;5733;6050,,,
64.000;5713;6050,,,
64.800;5747;6050,,,
65.600;5691;6050,,,
66.400;5723;6050,,,
67.200;5708;6050,,,
68.000;5721;6050,,,
68.800;5778;6050,,,
69.600;5857;6050,,,
70.400;5894;6050,,,
71.200;5731;6050,,,
72.000;5740;6050,,,
72.800;5629;6050,,,
73.600;5734;6050,,,
74.400;5786;6050,,,
75.200;5828;6050,,,
76.000;5727;6050,,,
76.800;5629;6050,,,
77.600;5615;6050,,,
78.400;5715;6050,,,
79.200;5846;6050,,,
80.000;5849;6050,,,
80.800;5728;6050,,,
81.600;5682;6050,,,
82.400;5744;6050,,,
83.200;5815;6050,,,
84.000;5794;6050,,,
84.800;5599;6050,,,
85.600;5705;6050,,,
86.400;5800;6050,,,
87.200;5780;6050,,,
88.000;5650;6050,,,
88.800;5682;6050,,,
89.600;5832;6050,,,
90.400;5676;6050,,,
91.200;5614;6050,,,
92.000;5828;6050,,,
92.800;5899;6050,,,
93.600;5692;6050,,,
94.400;5740;6050,,,
95.200;5862;6050,,,
96.000;5691;6050,,,
96.800;5601;6050,,,
97.600;5869;6050,,,
98.400;5805;6050,,,
99.200;5728;6050,,,
100.000;5856;6050,,,
100.800;5719;6050,,,
101.600;5709;6050,,,
102.400;5897;6050,,,
103.200;5721;6050,,,
104.000;5730;-6050,,,
104.800;-1602;-6050,,,
105.600;-4317;-6050,,,
106.400;-5104;-6050,,,
107.200;-5875;-6050,,,
108.000;-5873;-6050,,,
108.800;-5744;-6050,,,
109.600;-5662;-6050,,,
110.400;-5632;-6050,,,
111.200;-5801;-6050,,,
112.000;-5879;-6050,,,
112.800;-5793;-6050,,,
113.600;-5683;-6050,,,
114.400;-5738;-6050,,,
115.200;-5589;-6050,,,
116.000;-5635;-6050,,,
116.800;-5896;-6050,,,
117.600;-5733;-6050,,,
118.400;-5733;-6050,,,
119.200;-5623;-6050,,,
120.000;-5708;-6050,,,
120.800;-5670;-6050,,,
121.600;-5661;-6050,,,
122.400;-5809;-6050,,,
123.200;-5864;-6050,,,
124.000;-5779;-6050,,,
124.800;-5854;-6050,,,
125.600;-5654;-6050,,,
126.400;-5628;-6050,,,
127.200;-5687;-6050,,,
128.000;-5657;-6050,,,
128.800;-5503;-6050,,,
129.600;-5721;-6050,,,
130.400;-5801;-6050,,,
131.200;-5866;-6050,,,
132.000;-5765;-6050,,,
132.800;-5752;-6050,,,
133.600;-5754;-6050,,,
134.400;-5767;-6050,,,
135.200;-5743;-6050,,,
136.000;-5734;-6050,,,
136.800;-5774;-6050,,,
137.600;-5684;-6050,,,
138.400;-5704;-6050,,,
139.200;-5746;-6050,,,
140.000;-5778;-6050,,,
140.800;-5845;-6050,,,
141.600;-5752;-6050,,,
142.400;-5608;-6050,,,
143.200;-5567;-6050,,,
144.000;-5678;-6050,,,
144.800;-5730;-6050,,,
145.600;-5642;-6050,,,
146.400;-5703;-6050,,,
147.200;-5728;-6050,,,
148.000;-5666;-6050,,,
148.800;-5729;-6050,,,
149.600;-5636;-6050,,,
150.400;-5608;-6050,,,
151.200;-5763;-6050,,,
152.000;-5714;-6050,,,
152.800;-5690;-6050,,,
153.600;-3218;0,,,
154.400;-876;0,,,
155.200;-234;0,,,
156.000;-67;0,,,
156.800;49;0,,,
157.600;-55;0,,,
158.400;-30;0,,,
159.200;-40;0,,,
160.000;-12;0,,,
160.800;21;0,,,
161.600;11;0,,,
162.400;-8;0,,,
163.200;-31;0,,,
164.000;-20;0,,,
164.800;25;0,,,
165.600;-21;0,,,
166.400;14;0,,,
167.200;26;0,,,
168.000;-44;0,,,
168.800;-47;0,,,
169.600;88;0,,,
170.400;-9;0,,,
171.200;27;0,,,
172.000;-46;0,,,
172.800;13;0,,,
173.600;35;0,,,
174.400;-55;0,,,
175.200;50;0,,,
176.000;27;0,,,
176.800;5;0,,,
177.600;-25;0,,,
178.400;-32;0,,,
179.200;-26;0,,,
180.000;-4;0,,,
180.800;-32;0,,,
181.600;45;0,,,
182.400;-82;0,,,
183.200;24;0,,,
184.000;-6;0,,,
184.800;28;0,,,
185.600;-10;0,,,
186.400;11;0,,,
187.200;-28;0,,,
188.000;-25;0,,,
188.800;125;0,,,
189.600;52;0,,,
190.400;-8;0,,,
191.200;31;0,,,
192.000;70;0,,,
192.800;-11;0,,,
193.600;-9;0,,,
194.400;66;0,,,
195.200;-30;0,,,
196.000;8;0,,,
196.800;8;0,,,
197.600;10;0,,,
198.400;49;0,,,
199.200;29;0,,,
200.000;30;0,,,
200.800;29;0,,,
201.600;9;0,,,
202.400;-29;0,,,
203.200;68;0,,,
204.000;9;0,,,
204.800;88;0,,,
205.600;68;0,,,
206.400;9;0,,,
207.200;-90;0,,,
208.000;-10;0,,,
208.800;49;0,,,
209.600;-50;0,,,
