Date:;2021-11-02 10:21:58
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;440
Recorded samples:;440
Sampling period:;2.000
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;0.000000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;0.000000
;Current actual value;Current demand value
ms;mA;mA
0.000;0;0
2.000;0;0
4.000;0;0
6.000;-9;0
8.000;26;0
10.000;4;0
12.000;-22;0
14.000;13;0
16.000;4;0
18.000;-22;0
20.000;-81;0
22.000;-32;0
24.000;-32;0
26.000;-68;0
28.000;62;0
30.000;-9;0
32.000;23;0
34.000;-58;0
36.000;-32;0
38.000;-68;0
40.000;-22;0
42.000;62;0
44.000;0;0
46.000;17;0
48.000;-19;0
50.000;-58;0
52.000;52;0
54.000;26;0
56.000;-9;0
58.000;-22;0
60.000;-19;0
62.000;-22;0
64.000;26;0
66.000;-6;0
68.000;-22;0
70.000;4;0
72.000;39;0
74.000;36;0
76.000;59;0
78.000;0;0
80.000;-22;0
82.000;26;0
84.000;4;0
86.000;-9;0
88.000;-32;0
90.000;-55;0
92.000;-68;0
94.000;-32;0
96.000;4;0
98.000;-22;0
100.000;-9;0
102.000;26;0
104.000;-19;0
106.000;13;0
108.000;-45;0
110.000;-68;0
112.000;-68;0
114.000;72;0
116.000;-68;0
118.000;13;0
120.000;-32;0
122.000;-55;0
124.000;17;0
126.000;26;0
128.000;4;0
130.000;101;0
132.000;-32;0
134.000;26;0
136.000;-9;0
138.000;39;0
140.000;-9;0
142.000;62;0
144.000;4;0
146.000;39;0
148.000;-19;0
150.000;26;0
152.000;-68;0
154.000;72;0
156.000;26;0
158.000;-32;0
160.000;17;0
162.000;52;0
164.000;133;0
166.000;39;0
168.000;13;0
170.000;-19;0
172.000;17;0
174.000;-68;0
176.000;-32;0
178.000;4;0
180.000;-19;0
182.000;52;0
184.000;-22;0
186.000;62;0
188.000;85;0
190.000;-32;0
192.000;-19;0
194.000;4;0
196.000;17;0
198.000;-32;0
200.000;-68;992
202.000;835;992
204.000;962;992
206.000;874;992
208.000;933;992
210.000;943;992
212.000;833;992
214.000;915;992
216.000;909;992
218.000;1040;992
220.000;892;992
222.000;920;992
224.000;955;992
226.000;914;992
228.000;894;992
230.000;918;992
232.000;1005;992
234.000;1008;992
236.000;956;992
238.000;1001;992
240.000;864;992
242.000;875;992
244.000;963;992
246.000;941;992
248.000;953;992
250.000;953;992
252.000;978;992
254.000;944;992
256.000;936;992
258.000;914;992
260.000;943;992
262.000;969;992
264.000;947;992
266.000;911;992
268.000;946;992
