Date:;2021-11-02 15:19:17
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;478
Recorded samples:;478
Sampling period:;9.200
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;48.400000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;2750.000000
;Current actual value;Current demand value
ms;mA;mA
0.000;0;0
9.200;59;0
18.400;3;0
27.600;38;0
36.800;16;0
46.000;16;0
55.200;61;0
64.400;-20;0
73.600;-18;0
82.800;3;0
92.000;-28;0
101.200;49;0
110.400;16;0
119.600;-5;0
128.800;38;0
138.000;-5;0
147.200;-51;0
156.400;-84;0
165.600;51;0
174.800;-86;0
184.000;5;0
193.200;26;0
202.400;-28;0
211.600;28;0
220.800;14;0
230.000;-5;0
239.200;38;0
248.400;-20;0
257.600;26;0
266.800;-28;0
276.000;17;0
285.200;3;0
294.400;16;0
303.600;-107;0
312.800;16;0
322.000;3;0
331.200;16;0
340.400;5;0
349.600;94;0
358.800;5;0
368.000;-40;0
377.200;-5;0
386.400;14;0
395.600;26;0
404.800;-28;0
414.000;5;0
423.200;-74;0
432.400;-7;0
441.600;-28;0
450.800;-28;0
460.000;-51;0
469.200;28;0
478.400;-20;0
487.600;-40;0
496.800;-18;0
506.000;-40;0
515.200;28;0
524.400;16;0
533.600;28;0
542.800;-74;0
552.000;59;0
561.200;-53;0
570.400;73;0
579.600;38;0
588.800;16;0
598.000;70;0
607.200;-51;0
616.400;-49;0
625.600;5;0
634.800;51;0
644.000;-16;0
653.200;26;0
662.400;-5;0
671.600;-28;0
680.800;38;0
690.000;3;0
699.200;-5;0
708.400;-18;0
717.600;-28;0
726.800;3;0
736.000;-16;0
745.200;-40;0
754.400;-5;0
763.600;59;0
772.800;-86;0
782.000;-18;0
791.200;-7;0
800.400;70;0
809.600;5;0
818.800;49;0
828.000;-30;0
837.200;-7;0
846.400;-28;0
855.600;-30;0
864.800;-18;0
874.000;38;0
883.200;40;0
892.400;-63;0
901.600;-30;0
910.800;59;0
920.000;82;0
929.200;3;0
938.400;-18;0
947.600;-39;0
956.800;-107;0
966.000;5;0
975.200;-5;0
984.400;-30;0
993.600;16;0
1002.800;673;990
1012.000;963;990
1021.200;974;990
1030.400;985;990
1039.600;904;990
1048.800;1015;990
1058.000;927;990
1067.200;995;990
1076.400;1028;990
1085.600;920;990
1094.800;968;990
1104.000;873;990
1113.200;882;990
1122.400;953;990
1131.600;958;990
1140.800;875;990
1150.000;1000;990
1159.200;961;990
1168.400;900;990
1177.600;884;990
1186.800;961;990
1196.000;953;990
