Date:;2021-11-02 15:21:00
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;478
Recorded samples:;478
Sampling period:;9.200
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;48.400000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;2750.000000
;Current actual value;Current demand value
ms;mA;mA
0.000;0;0
9.200;17;0
18.400;-16;0
27.600;10;0
36.800;5;0
46.000;22;0
55.200;-16;0
64.400;16;0
73.600;-21;0
82.800;22;0
92.000;-6;0
101.200;-6;0
110.400;-23;0
119.600;5;0
128.800;22;0
138.000;-11;0
147.200;27;0
156.400;-23;0
165.600;-23;0
174.800;29;0
184.000;44;0
193.200;-6;0
202.400;10;0
211.600;17;0
220.800;32;0
230.000;-28;0
239.200;4;0
248.400;-33;0
257.600;10;0
266.800;-28;0
276.000;10;0
285.200;-28;0
294.400;-1;0
303.600;0;0
312.800;-6;0
322.000;16;0
331.200;-8;0
340.400;-6;0
349.600;-8;0
358.800;-6;0
368.000;56;0
377.200;-11;0
386.400;-16;0
395.600;-18;0
404.800;-23;0
414.000;-35;0
423.200;-28;0
432.400;10;0
441.600;-30;0
450.800;-11;0
460.000;12;0
469.200;-6;0
478.400;5;0
487.600;-1;0
496.800;17;0
506.000;-11;0
515.200;5;0
524.400;-11;0
533.600;10;0
542.800;34;0
552.000;-1;0
561.200;5;0
570.400;10;0
579.600;-23;0
588.800;5;0
598.000;22;0
607.200;10;0
616.400;4;0
625.600;-33;0
634.800;-23;0
644.000;-6;0
653.200;17;0
662.400;-52;0
671.600;-6;0
680.800;-11;0
690.000;-25;0
699.200;27;0
708.400;-23;0
717.600;-23;0
726.800;-11;0
736.000;-5;0
745.200;-16;0
754.400;22;0
763.600;16;0
772.800;22;0
782.000;-21;0
791.200;-16;0
800.400;-6;0
809.600;-6;0
818.800;17;0
828.000;-40;0
837.200;-28;0
846.400;12;0
855.600;37;0
864.800;5;0
874.000;27;0
883.200;-30;0
892.400;22;0
901.600;22;0
910.800;32;0
920.000;-1;0
929.200;-18;0
938.400;21;0
947.600;10;0
956.800;-1;0
966.000;-1;0
975.200;5;0
984.400;-57;0
993.600;66;0
1002.800;986;990
1012.000;911;990
1021.200;959;990
1030.400;1020;990
1039.600;1057;990
1048.800;969;990
1058.000;981;990
1067.200;969;990
1076.400;1030;990
1085.600;1004;990
1094.800;987;990
1104.000;995;990
1113.200;850;990
1122.400;1017;990
1131.600;1005;990
1140.800;1009;990
1150.000;931;990
1159.200;987;990
1168.400;993;990
1177.600;972;990
1186.800;964;990
